id,value,feed_id,created_at,lat,lon,ele
0FXXDZ04709FSWDF8QNGQV9A7S,78,3140094,2025-07-09 14:30:06 UTC,,,
0FXXEG7JPGC0B0P64GENXQY44P,76,3140094,2025-07-09 15:00:13 UTC,,,
0FXXF1F1602F86KH5PK1Y7H3ZV,74,3140094,2025-07-09 15:30:20 UTC,,,
0FXXG3W3J0DPD8TQE53WQKB04V,72,3140094,2025-07-09 16:30:28 UTC,,,
0FXXGN3VT06X7FFNSJ9JQKC49F,71,3140094,2025-07-09 17:00:36 UTC,,,
0FXXH6BM209A90C29HTZ3ZWW27,70,3140094,2025-07-09 17:30:44 UTC,,,
0FXXHQK2HGVJ7117M1FGFZEYY5,68,3140094,2025-07-09 18:00:51 UTC,,,
0FXXJ8TTSGK36XQ3WE7RD9VD91,67,3140094,2025-07-09 18:30:59 UTC,,,
0FXXJT2K1G8KWV91YD6K3G51JW,65,3140094,2025-07-09 19:01:07 UTC,,,
0FXXKBAB9G1PWGBGVWJH19TZ8H,64,3140094,2025-07-09 19:31:15 UTC,,,
0FXXKWHSS0023JJ9M8WT7WYTVK,63,3140094,2025-07-09 20:01:22 UTC,,,
0FXXMDSJ1013DT4Z37T84XYASM,61,3140094,2025-07-09 20:31:30 UTC,,,
0FXXMZ1A90BSGRK6W0F4B8FV7A,85,3140094,2025-07-09 21:01:38 UTC,,,
0FXXNG92H0NFJ0SXHCZDCCSXN3,83,3140094,2025-07-09 21:31:46 UTC,,,
0FXXP1GTS02T2SGM68F6WYQ3DB,82,3140094,2025-07-09 22:01:54 UTC,,,
0FXXPJR98G38G9P71GB3AGM7ZD,80,3140094,2025-07-09 22:32:01 UTC,,,
0FXXQ401GG2HQVRJ6WM71DNSY3,79,3140094,2025-07-09 23:02:09 UTC,,,
0FXXQN7SRG5NMEBCMC5310113D,78,3140094,2025-07-09 23:32:17 UTC,,,
0FXXR6FJ0G4PN0FRYATNSKBJ22,77,3140094,2025-07-10 00:02:25 UTC,,,
0FXXRQQ0G0EPMXZ0V659AB1ADE,75,3140094,2025-07-10 00:32:32 UTC,,,
0FXXS8YRR0FCKCTVCAR512ZV23,73,3140094,2025-07-10 01:02:40 UTC,,,
