id,value,feed_id,created_at,lat,lon,ele
0FXZSXYHK29QFYK8E18PZ2Q6TP,34,3139067,2025-07-12 13:18:29 UTC,,,
0FXZSY0MGP974W0CCJ1H59T2ZP,38,3139067,2025-07-12 13:18:36 UTC,,,
0FXZSY2QSF3XJ8X4MTTQ03KYKD,36,3139067,2025-07-12 13:18:43 UTC,,,
0FXZSY4V5H20XN9J6VRF3R76TD,34,3139067,2025-07-12 13:18:50 UTC,,,
0FXZSY6YTP08RYVQ3R85JNC46V,36,3139067,2025-07-12 13:18:57 UTC,,,
0FXZSY91KZBK40DERNF18QRM0R,32,3139067,2025-07-12 13:19:04 UTC,,,
0FXZSYB3S5C6H0WSC0HC493ZRF,70,3139067,2025-07-12 13:19:10 UTC,,,
0FXZSYD639VCFTN51T62B19CA8,74,3139067,2025-07-12 13:19:17 UTC,,,
0FXZSYF8Z5PWC70MJX84P20XN7,76,3139067,2025-07-12 13:19:24 UTC,,,
0FXZSYHC1F4XBMER465ZPYEB65,77,3139067,2025-07-12 13:19:31 UTC,,,
0FXZSYKF3WK7WFX09E6188AGC0,75,3139067,2025-07-12 13:19:38 UTC,,,
0FXZSYNJE5RQB3FCDKWZJRS6N7,77,3139067,2025-07-12 13:19:45 UTC,,,
0FXZSYXK9K2NVMWADQTRMWBFF9,65,3139067,2025-07-12 13:20:11 UTC,,,
0FXZSYZQ4ZGF9BEMP3WM5A38FJ,69,3139067,2025-07-12 13:20:18 UTC,,,
0FXZSZ1XSAS0C3QT4PZWWFEPSG,76,3139067,2025-07-12 13:20:25 UTC,,,
0FXZSZ4472BZF6SXM37DGVPFA0,76,3139067,2025-07-12 13:20:32 UTC,,,
0FXZSZ6A557BAK82XA6N8SK9HC,74,3139067,2025-07-12 13:20:39 UTC,,,
0FXZSZFQSQG6G93YEG5FAY7ETP,58,3139067,2025-07-12 13:21:10 UTC,,,
0FXZSZHTF0ZXV1G260VXF4WNJK,72,3139067,2025-07-12 13:21:17 UTC,,,
0FXZSZKXZXVRT9ESW8XX07EVR1,78,3139067,2025-07-12 13:21:24 UTC,,,
0FXZSZP0ZTHCA7Z45MQ4SV8QEK,74,3139067,2025-07-12 13:21:31 UTC,,,
0FXZSZR43P5VRHHAQPGQ3SNSS1,70,3139067,2025-07-12 13:21:38 UTC,,,
0FXZSZXV7GKZNKNYY490F85RB8,65,3139067,2025-07-12 13:21:57 UTC,,,
0FXZSZZY4M2S51XZR8JBC4WJS3,73,3139067,2025-07-12 13:22:03 UTC,,,
0FXZT0212VXQGNYNVV74YCNHSF,66,3139067,2025-07-12 13:22:10 UTC,,,
0FXZT0440V63Y6V5E19Z0MJRNE,71,3139067,2025-07-12 13:22:17 UTC,,,
0FXZT0678V04ZTTHT5DG4YQNF0,73,3139067,2025-07-12 13:22:24 UTC,,,
0FXZT08A9BH5512HASSVW5FKPG,72,3139067,2025-07-12 13:22:31 UTC,,,
0FXZT0ACXD0XHXZM1135E5KVSN,68,3139067,2025-07-12 13:22:38 UTC,,,
0FXZT0CFJ8954WV9ZFCH6GDVC4,71,3139067,2025-07-12 13:22:45 UTC,,,
0FXZT0EJBSBT2RKBRM487JPDJW,67,3139067,2025-07-12 13:22:51 UTC,,,
0FXZT0GNKF9CFM5VB4C5X8Y657,74,3139067,2025-07-12 13:22:58 UTC,,,
0FXZT0JR94FDTKFA8A0JF2Q0NV,69,3139067,2025-07-12 13:23:05 UTC,,,
0FXZT0MVE9KYYB873QC1M3CV6V,53,3139067,2025-07-12 13:23:12 UTC,,,
0FXZT0PYBT8V21ZQ94W7C3BCHR,65,3139067,2025-07-12 13:23:19 UTC,,,
0FXZT0S14X29S6GWGXXXJZKYXE,37,3139067,2025-07-12 13:23:26 UTC,,,
0FXZT0V3SW7NZAM3510PRZ9SG9,38,3139067,2025-07-12 13:23:32 UTC,,,
